"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2022","1,254.45","1,251.86","1,255.70","1,248.23","","0.31%"
"06/03/2022","1,250.58","1,241.14","1,252.23","1,238.47","","0.83%"
"06/02/2022","1,240.32","1,247.23","1,255.04","1,240.67","","-0.53%"
"06/01/2022","1,246.89","1,242.48","1,248.58","1,240.29","","0.37%"
"05/31/2022","1,242.26","1,235.60","1,243.89","1,234.72","","0.60%"
"05/30/2022","1,234.85","1,251.10","1,253.58","1,234.55","","-1.37%"
"05/27/2022","1,251.99","1,260.29","1,262.13","1,248.85","","-0.64%"
"05/26/2022","1,260.02","1,266.55","1,269.73","1,259.34","","-0.50%"
"05/25/2022","1,266.41","1,261.14","1,271.95","1,260.06","","0.43%"
"05/24/2022","1,261.03","1,258.87","1,266.72","1,258.21","","0.25%"
"05/23/2022","1,257.88","1,270.41","1,272.97","1,258.36","","-1.23%"
"05/20/2022","1,273.59","1,263.99","1,277.18","1,263.05","","0.87%"
"05/19/2022","1,262.61","1,276.00","1,280.63","1,261.35","","-1.00%"
"05/18/2022","1,275.33","1,266.80","1,276.98","1,263.93","","0.70%"
"05/17/2022","1,266.50","1,280.64","1,281.44","1,264.02","","-1.08%"
"05/16/2022","1,280.38","1,278.56","1,286.56","1,276.16","","0.15%"
"05/13/2022","1,278.45","1,290.87","1,291.74","1,278.22","","-0.95%"
"05/12/2022","1,290.72","1,279.14","1,293.14","1,278.47","","0.91%"
"05/11/2022","1,279.03","1,276.63","1,280.55","1,272.35","","0.20%"
"05/10/2022","1,276.48","1,275.01","1,278.94","1,271.37","","0.17%"
"05/09/2022","1,274.28","1,270.41","1,278.35","1,270.29","","0.34%"
"05/06/2022","1,269.99","1,269.56","1,276.46","1,266.98","","0.06%"
"05/05/2022","1,269.20","1,251.53","1,274.36","1,250.42","","1.41%"
"05/04/2022","1,251.51","1,260.95","1,267.49","1,250.61","","-0.70%"
"05/03/2022","1,260.35","1,267.64","1,268.77","1,260.11","","-0.56%"
"05/02/2022","1,267.51","1,264.65","1,270.75","1,262.88","","0.35%"
"04/29/2022","1,263.03","1,272.38","1,273.06","1,254.87","","-0.71%"
"04/28/2022","1,272.11","1,266.40","1,276.56","1,264.27","","0.46%"
"04/27/2022","1,266.27","1,260.98","1,270.72","1,260.89","","0.44%"
"04/26/2022","1,260.67","1,250.22","1,261.43","1,245.14","","0.85%"
"04/25/2022","1,250.10","1,244.40","1,253.77","1,243.63","","0.48%"
"04/22/2022","1,244.11","1,242.34","1,247.45","1,238.45","","0.10%"
"04/21/2022","1,242.81","1,233.98","1,244.95","1,233.85","","0.74%"
"04/20/2022","1,233.66","1,239.81","1,241.04","1,232.37","","-0.47%"
"04/19/2022","1,239.53","1,235.45","1,242.67","1,233.17","","0.35%"
"04/18/2022","1,235.22","1,229.08","1,235.81","1,228.88","","0.57%"
"04/15/2022","1,228.19","1,230.26","1,232.11","1,227.01","","-0.16%"
"04/14/2022","1,230.15","1,223.36","1,231.57","1,222.61","","0.57%"
"04/13/2022","1,223.23","1,228.15","1,231.69","1,221.71","","-0.39%"
"04/12/2022","1,228.08","1,234.90","1,238.63","1,224.52","","-0.51%"
"04/11/2022","1,234.32","1,228.95","1,236.81","1,228.94","","0.42%"
"04/08/2022","1,229.19","1,222.76","1,230.86","1,221.29","","0.54%"
"04/07/2022","1,222.55","1,217.60","1,223.95","1,216.37","","0.42%"
"04/06/2022","1,217.48","1,218.82","1,221.95","1,215.85","","-0.06%"
"04/05/2022","1,218.22","1,214.49","1,220.31","1,210.31","","0.37%"
"04/04/2022","1,213.75","1,219.80","1,220.26","1,213.54","","-0.49%"
"04/01/2022","1,219.73","1,215.13","1,220.27","1,214.39","","0.46%"
"03/31/2022","1,214.17","1,210.51","1,215.47","1,208.16","","0.32%"
"03/30/2022","1,210.31","1,208.19","1,213.22","1,207.06","","0.25%"
"03/29/2022","1,207.35","1,223.82","1,225.12","1,207.27","","-1.33%"
"03/28/2022","1,223.65","1,224.40","1,227.86","1,222.27","","-0.12%"
"03/25/2022","1,225.08","1,221.00","1,226.31","1,216.35","","0.45%"
"03/24/2022","1,219.58","1,219.02","1,225.05","1,217.10","","0.08%"
"03/23/2022","1,218.62","1,215.19","1,219.80","1,210.91","","0.29%"
"03/22/2022","1,215.07","1,218.82","1,223.92","1,214.51","","-0.20%"
"03/21/2022","1,217.55","1,211.55","1,219.23","1,210.39","","0.53%"
"03/18/2022","1,211.15","1,210.58","1,217.27","1,207.01","","0.10%"
"03/17/2022","1,209.89","1,224.95","1,227.70","1,207.83","","-1.26%"
"03/16/2022","1,225.35","1,241.66","1,244.06","1,225.32","","-1.23%"
"03/15/2022","1,240.62","1,242.01","1,247.35","1,239.30","","0.00%"
"03/14/2022","1,240.64","1,237.10","1,242.82","1,234.68","","0.29%"
"03/11/2022","1,237.08","1,228.77","1,237.91","1,228.23","","0.67%"
"03/10/2022","1,228.83","1,223.24","1,231.74","1,223.13","","0.47%"
"03/09/2022","1,223.13","1,233.64","1,235.94","1,222.75","","-0.84%"
"03/08/2022","1,233.53","1,232.26","1,238.83","1,227.97","","0.11%"
